epoch;accuracy;loss;val_accuracy;val_loss
0;0.5909090638160706;0.9351758360862732;0.5185185074806213;0.7449021339416504
1;0.699999988079071;0.6341058015823364;0.7962962985038757;0.5420475602149963
2;0.7727272510528564;0.5326552391052246;0.7962962985038757;0.42287546396255493
3;0.8090909123420715;0.4082323908805847;0.7962962985038757;0.4438623785972595
4;0.8409090638160706;0.3370497524738312;0.8518518805503845;0.295224130153656
0;0.8818181753158569;0.2694907784461975;0.9074074029922485;0.23867423832416534
1;0.9090909361839294;0.20793969929218292;0.9074074029922485;0.25635233521461487
2;0.9590908885002136;0.13899445533752441;0.9629629850387573;0.11941662430763245
3;0.9772727489471436;0.09185080230236053;0.9814814925193787;0.08491795510053635
4;0.9863636493682861;0.07086852937936783;0.9629629850387573;0.09013582020998001
0;0.9909090995788574;0.05674804002046585;0.9629629850387573;0.06657315790653229
1;0.9818181991577148;0.05608198791742325;0.9814814925193787;0.07122470438480377
2;0.9727272987365723;0.06424940377473831;0.9814814925193787;0.1687660813331604
3;0.9772727489471436;0.06864003092050552;0.9629629850387573;0.07010481506586075
4;0.9954545497894287;0.030399074777960777;0.9814814925193787;0.07790769636631012
5;0.9909090995788574;0.03943793103098869;0.9814814925193787;0.04174913838505745
6;0.9909090995788574;0.03258862346410751;0.9259259104728699;0.18680261075496674
7;0.9863636493682861;0.04614883288741112;0.9814814925193787;0.05033784732222557
8;0.9909090995788574;0.040972013026475906;0.9814814925193787;0.12185738980770111
9;0.9954545497894287;0.025647863745689392;0.9814814925193787;0.09106118232011795
0;0.9909090995788574;0.03356720879673958;0.9814814925193787;0.10202177613973618
1;0.9954545497894287;0.017781898379325867;0.9814814925193787;0.08824124932289124
2;0.9909090995788574;0.02477659285068512;0.9814814925193787;0.0918877124786377
3;0.9954545497894287;0.01544590387493372;0.9814814925193787;0.0787847638130188
4;0.9954545497894287;0.015184996649622917;0.9814814925193787;0.07841159403324127
5;0.9909090995788574;0.018336132168769836;0.9444444179534912;0.2288728654384613
6;0.9909090995788574;0.027190446853637695;0.9629629850387573;0.05462196469306946
7;0.9909090995788574;0.04158799350261688;0.9629629850387573;0.12830065190792084
8;0.9954545497894287;0.014221188612282276;0.9814814925193787;0.09368301182985306
9;0.9954545497894287;0.010528532788157463;0.9814814925193787;0.10703936219215393
